Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Alone,claude,0,Completeness,0.978
Model_Alone,claude,0,Step_concordance,0.222
Model_Alone,claude,0,Case_tailoring,0.333
Model_Alone,claude,0,Missing_data_concordance,0.0
Model_Studies,claude,0,Completeness,0.889
Model_Studies,claude,0,Step_concordance,0.289
Model_Studies,claude,0,Case_tailoring,0.6
Model_Studies,claude,0,Missing_data_concordance,0.333
Model_Workflow,claude,0,Completeness,0.933
Model_Workflow,claude,0,Step_concordance,0.511
Model_Workflow,claude,0,Case_tailoring,0.756
Model_Workflow,claude,0,Missing_data_concordance,0.356
Model_Workflow_Studies,claude,0,Completeness,0.978
Model_Workflow_Studies,claude,0,Step_concordance,0.467
Model_Workflow_Studies,claude,0,Case_tailoring,0.8
Model_Workflow_Studies,claude,0,Missing_data_concordance,0.489
Model_Alone,claude,1,Completeness,0.978
Model_Alone,claude,1,Step_concordance,0.222
Model_Alone,claude,1,Case_tailoring,0.378
Model_Alone,claude,1,Missing_data_concordance,0.067
Model_Studies,claude,1,Completeness,0.978
Model_Studies,claude,1,Step_concordance,0.333
Model_Studies,claude,1,Case_tailoring,0.644
Model_Studies,claude,1,Missing_data_concordance,0.244
Model_Workflow,claude,1,Completeness,0.978
Model_Workflow,claude,1,Step_concordance,0.511
Model_Workflow,claude,1,Case_tailoring,0.711
Model_Workflow,claude,1,Missing_data_concordance,0.378
Model_Workflow_Studies,claude,1,Completeness,1.0
Model_Workflow_Studies,claude,1,Step_concordance,0.444
Model_Workflow_Studies,claude,1,Case_tailoring,0.756
Model_Workflow_Studies,claude,1,Missing_data_concordance,0.444
Model_Alone,claude,2,Completeness,0.978
Model_Alone,claude,2,Step_concordance,0.2
Model_Alone,claude,2,Case_tailoring,0.356
Model_Alone,claude,2,Missing_data_concordance,0.044
Model_Studies,claude,2,Completeness,0.956
Model_Studies,claude,2,Step_concordance,0.289
Model_Studies,claude,2,Case_tailoring,0.644
Model_Studies,claude,2,Missing_data_concordance,0.267
Model_Workflow,claude,2,Completeness,0.933
Model_Workflow,claude,2,Step_concordance,0.511
Model_Workflow,claude,2,Case_tailoring,0.711
Model_Workflow,claude,2,Missing_data_concordance,0.333
Model_Workflow_Studies,claude,2,Completeness,1.0
Model_Workflow_Studies,claude,2,Step_concordance,0.467
Model_Workflow_Studies,claude,2,Case_tailoring,0.778
Model_Workflow_Studies,claude,2,Missing_data_concordance,0.489
Model_Alone,gpt,0,Completeness,0.66
Model_Alone,gpt,0,Step_concordance,0.532
Model_Alone,gpt,0,Case_tailoring,0.021
Model_Alone,gpt,0,Missing_data_concordance,0.043
Model_Studies,gpt,0,Completeness,0.702
Model_Studies,gpt,0,Step_concordance,0.574
Model_Studies,gpt,0,Case_tailoring,0.043
Model_Studies,gpt,0,Missing_data_concordance,0.064
Model_Workflow,gpt,0,Completeness,0.894
Model_Workflow,gpt,0,Step_concordance,0.957
Model_Workflow,gpt,0,Case_tailoring,0.064
Model_Workflow,gpt,0,Missing_data_concordance,0.064
Model_Workflow_Studies,gpt,0,Completeness,0.851
Model_Workflow_Studies,gpt,0,Step_concordance,0.702
Model_Workflow_Studies,gpt,0,Case_tailoring,0.0
Model_Workflow_Studies,gpt,0,Missing_data_concordance,0.064
Model_Alone,gpt,1,Completeness,0.638
Model_Alone,gpt,1,Step_concordance,0.511
Model_Alone,gpt,1,Case_tailoring,0.021
Model_Alone,gpt,1,Missing_data_concordance,0.021
Model_Studies,gpt,1,Completeness,0.915
Model_Studies,gpt,1,Step_concordance,0.745
Model_Studies,gpt,1,Case_tailoring,0.021
Model_Studies,gpt,1,Missing_data_concordance,0.128
Model_Workflow,gpt,1,Completeness,0.979
Model_Workflow,gpt,1,Step_concordance,0.936
Model_Workflow,gpt,1,Case_tailoring,0.064
Model_Workflow,gpt,1,Missing_data_concordance,0.128
Model_Workflow_Studies,gpt,1,Completeness,1.0
