Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Alone,claude,0,Completeness,93,0.93,0.255
Model_Alone,claude,0,Step_concordance,59,0.59,0.492
Model_Alone,claude,0,Case_tailoring,64,0.64,0.48
Model_Alone,claude,0,Missing_data_concordance,49,0.49,0.5
Model_Studies,claude,0,Completeness,89,0.89,0.313
Model_Studies,claude,0,Step_concordance,62,0.62,0.485
Model_Studies,claude,0,Case_tailoring,76,0.76,0.427
Model_Studies,claude,0,Missing_data_concordance,64,0.64,0.48
Model_Workflow,claude,0,Completeness,91,0.91,0.286
Model_Workflow,claude,0,Step_concordance,72,0.72,0.449
Model_Workflow,claude,0,Case_tailoring,83,0.83,0.376
Model_Workflow,claude,0,Missing_data_concordance,65,0.65,0.477
Model_Workflow_Studies,claude,0,Completeness,93,0.93,0.255
Model_Workflow_Studies,claude,0,Step_concordance,70,0.7,0.458
Model_Workflow_Studies,claude,0,Case_tailoring,85,0.85,0.357
Model_Workflow_Studies,claude,0,Missing_data_concordance,71,0.71,0.454
Model_Alone,claude,1,Completeness,93,0.93,0.255
Model_Alone,claude,1,Step_concordance,59,0.59,0.492
Model_Alone,claude,1,Case_tailoring,66,0.66,0.474
Model_Alone,claude,1,Missing_data_concordance,52,0.52,0.5
Model_Studies,claude,1,Completeness,93,0.93,0.255
Model_Studies,claude,1,Step_concordance,64,0.64,0.48
Model_Studies,claude,1,Case_tailoring,78,0.78,0.414
Model_Studies,claude,1,Missing_data_concordance,60,0.6,0.49
Model_Workflow,claude,1,Completeness,93,0.93,0.255
Model_Workflow,claude,1,Step_concordance,72,0.72,0.449
Model_Workflow,claude,1,Case_tailoring,81,0.81,0.392
Model_Workflow,claude,1,Missing_data_concordance,66,0.66,0.474
Model_Workflow_Studies,claude,1,Completeness,94,0.94,0.237
Model_Workflow_Studies,claude,1,Step_concordance,69,0.69,0.462
Model_Workflow_Studies,claude,1,Case_tailoring,83,0.83,0.376
Model_Workflow_Studies,claude,1,Missing_data_concordance,69,0.69,0.462
Model_Alone,claude,2,Completeness,93,0.93,0.255
Model_Alone,claude,2,Step_concordance,58,0.58,0.494
Model_Alone,claude,2,Case_tailoring,65,0.65,0.477
Model_Alone,claude,2,Missing_data_concordance,51,0.51,0.5
Model_Studies,claude,2,Completeness,92,0.92,0.271
Model_Studies,claude,2,Step_concordance,62,0.62,0.485
Model_Studies,claude,2,Case_tailoring,78,0.78,0.414
Model_Studies,claude,2,Missing_data_concordance,61,0.61,0.488
Model_Workflow,claude,2,Completeness,91,0.91,0.286
Model_Workflow,claude,2,Step_concordance,72,0.72,0.449
Model_Workflow,claude,2,Case_tailoring,81,0.81,0.392
Model_Workflow,claude,2,Missing_data_concordance,64,0.64,0.48
Model_Workflow_Studies,claude,2,Completeness,94,0.94,0.237
Model_Workflow_Studies,claude,2,Step_concordance,70,0.7,0.458
Model_Workflow_Studies,claude,2,Case_tailoring,84,0.84,0.367
Model_Workflow_Studies,claude,2,Missing_data_concordance,71,0.71,0.454
Model_Alone,gpt,0,Completeness,42,0.42,0.494
Model_Alone,gpt,0,Step_concordance,36,0.36,0.48
Model_Alone,gpt,0,Case_tailoring,12,0.12,0.325
Model_Alone,gpt,0,Missing_data_concordance,13,0.13,0.336
Model_Studies,gpt,0,Completeness,44,0.44,0.496
Model_Studies,gpt,0,Step_concordance,38,0.38,0.485
Model_Studies,gpt,0,Case_tailoring,13,0.13,0.336
Model_Studies,gpt,0,Missing_data_concordance,14,0.14,0.347
Model_Workflow,gpt,0,Completeness,53,0.53,0.499
Model_Workflow,gpt,0,Step_concordance,56,0.56,0.496
Model_Workflow,gpt,0,Case_tailoring,14,0.14,0.347
Model_Workflow,gpt,0,Missing_data_concordance,14,0.14,0.347
Model_Workflow_Studies,gpt,0,Completeness,51,0.51,0.5
Model_Workflow_Studies,gpt,0,Step_concordance,44,0.44,0.496
Model_Workflow_Studies,gpt,0,Case_tailoring,11,0.11,0.313
Model_Workflow_Studies,gpt,0,Missing_data_concordance,14,0.14,0.347
Model_Alone,gpt,1,Completeness,41,0.41,0.492
Model_Alone,gpt,1,Step_concordance,35,0.35,0.477
Model_Alone,gpt,1,Case_tailoring,12,0.12,0.325
Model_Alone,gpt,1,Missing_data_concordance,12,0.12,0.325
Model_Studies,gpt,1,Completeness,54,0.54,0.498
Model_Studies,gpt,1,Step_concordance,46,0.46,0.498
Model_Studies,gpt,1,Case_tailoring,12,0.12,0.325
Model_Studies,gpt,1,Missing_data_concordance,17,0.17,0.376
Model_Workflow,gpt,1,Completeness,57,0.57,0.495
Model_Workflow,gpt,1,Step_concordance,55,0.55,0.497
Model_Workflow,gpt,1,Case_tailoring,14,0.14,0.347
Model_Workflow,gpt,1,Missing_data_concordance,17,0.17,0.376
Model_Workflow_Studies,gpt,1,Completeness,58,0.58,0.494
Model_Workflow_Studies,gpt,1,Step_concordance,49,0.49,0.5
Model_Workflow_Studies,gpt,1,Case_tailoring,15,0.15,0.357
Model_Workflow_Studies,gpt,1,Missing_data_concordance,17,0.17,0.376
Model_Alone,gpt,2,Completeness,39,0.39,0.488
Model_Alone,gpt,2,Step_concordance,35,0.35,0.477
Model_Alone,gpt,2,Case_tailoring,13,0.13,0.336
Model_Alone,gpt,2,Missing_data_concordance,15,0.15,0.357
Model_Studies,gpt,2,Completeness,46,0.46,0.498
Model_Studies,gpt,2,Step_concordance,37,0.37,0.483
Model_Studies,gpt,2,Case_tailoring,15,0.15,0.357
Model_Studies,gpt,2,Missing_data_concordance,15,0.15,0.357
Model_Workflow,gpt,2,Completeness,56,0.56,0.496
Model_Workflow,gpt,2,Step_concordance,52,0.52,0.5
Model_Workflow,gpt,2,Case_tailoring,15,0.15,0.357
Model_Workflow,gpt,2,Missing_data_concordance,19,0.19,0.392
Model_Workflow_Studies,gpt,2,Completeness,52,0.52,0.5
Model_Workflow_Studies,gpt,2,Step_concordance,49,0.49,0.5
Model_Workflow_Studies,gpt,2,Case_tailoring,11,0.11,0.313
Model_Workflow_Studies,gpt,2,Missing_data_concordance,17,0.17,0.376
Model_Alone,llama,0,Completeness,63,0.63,0.483
Model_Alone,llama,0,Step_concordance,46,0.46,0.498
Model_Alone,llama,0,Case_tailoring,51,0.51,0.5
Model_Alone,llama,0,Missing_data_concordance,16,0.16,0.367
Model_Studies,llama,0,Completeness,69,0.69,0.462
Model_Studies,llama,0,Step_concordance,46,0.46,0.498
Model_Studies,llama,0,Case_tailoring,51,0.51,0.5
Model_Studies,llama,0,Missing_data_concordance,14,0.14,0.347
Model_Workflow,llama,0,Completeness,80,0.8,0.4
Model_Workflow,llama,0,Step_concordance,56,0.56,0.496
Model_Workflow,llama,0,Case_tailoring,66,0.66,0.474
Model_Workflow,llama,0,Missing_data_concordance,18,0.18,0.384
Model_Workflow_Studies,llama,0,Completeness,76,0.76,0.427
Model_Workflow_Studies,llama,0,Step_concordance,51,0.51,0.5
Model_Workflow_Studies,llama,0,Case_tailoring,62,0.62,0.485
Model_Workflow_Studies,llama,0,Missing_data_concordance,20,0.2,0.4
Model_Alone,llama,1,Completeness,65,0.65,0.477
Model_Alone,llama,1,Step_concordance,45,0.45,0.497
Model_Alone,llama,1,Case_tailoring,50,0.5,0.5
Model_Alone,llama,1,Missing_data_concordance,15,0.15,0.357
Model_Studies,llama,1,Completeness,67,0.67,0.47
Model_Studies,llama,1,Step_concordance,46,0.46,0.498
Model_Studies,llama,1,Case_tailoring,49,0.49,0.5
Model_Studies,llama,1,Missing_data_concordance,12,0.12,0.325
Model_Workflow,llama,1,Completeness,80,0.8,0.4
Model_Workflow,llama,1,Step_concordance,54,0.54,0.498
Model_Workflow,llama,1,Case_tailoring,63,0.63,0.483
Model_Workflow,llama,1,Missing_data_concordance,19,0.19,0.392
Model_Workflow_Studies,llama,1,Completeness,76,0.76,0.427
Model_Workflow_Studies,llama,1,Step_concordance,52,0.52,0.5
Model_Workflow_Studies,llama,1,Case_tailoring,64,0.64,0.48
Model_Workflow_Studies,llama,1,Missing_data_concordance,18,0.18,0.384
Model_Alone,llama,2,Completeness,63,0.63,0.483
Model_Alone,llama,2,Step_concordance,47,0.47,0.499
Model_Alone,llama,2,Case_tailoring,51,0.51,0.5
Model_Alone,llama,2,Missing_data_concordance,15,0.15,0.357
Model_Studies,llama,2,Completeness,66,0.66,0.474
Model_Studies,llama,2,Step_concordance,47,0.47,0.499
Model_Studies,llama,2,Case_tailoring,50,0.5,0.5
Model_Studies,llama,2,Missing_data_concordance,12,0.12,0.325
Model_Workflow,llama,2,Completeness,80,0.8,0.4
Model_Workflow,llama,2,Step_concordance,56,0.56,0.496
Model_Workflow,llama,2,Case_tailoring,63,0.63,0.483
Model_Workflow,llama,2,Missing_data_concordance,19,0.19,0.392
Model_Workflow_Studies,llama,2,Completeness,76,0.76,0.427
Model_Workflow_Studies,llama,2,Step_concordance,50,0.5,0.5
Model_Workflow_Studies,llama,2,Case_tailoring,63,0.63,0.483
Model_Workflow_Studies,llama,2,Missing_data_concordance,17,0.17,0.376
