;Approach;Label;Metric;Mean;STD;Median;Percentiles_25-75
0;LLM-baseline;Biomarker;TSR;19.8;25.32;20.0;[np.float64(0.0), np.float64(26.5)]
1;LLM-baseline;Biomarker_Result;TSR;76.64;42.04;100.0;[np.float64(100.0), np.float64(100.0)]
2;LLM-baseline;Cancer_Surgery;TSR;37.99;44.11;0.0;[np.float64(0.0), np.float64(100.0)]
3;LLM-baseline;Grade;TSR;87.27;33.33;100.0;[np.float64(100.0), np.float64(100.0)]
4;LLM-baseline;Histological_Type;TSR;93.64;24.41;100.0;[np.float64(100.0), np.float64(100.0)]
5;LLM-baseline;Imaging_Test;TSR;43.33;45.3;24.5;[np.float64(0.0), np.float64(100.0)]
6;LLM-baseline;Invasion;TSR;37.07;46.51;0.0;[np.float64(0.0), np.float64(100.0)]
7;LLM-baseline;Metastasis;TSR;62.48;38.55;90.0;[np.float64(50.0), np.float64(90.0)]
8;LLM-baseline;Oncogene;TSR;93.25;24.65;100.0;[np.float64(100.0), np.float64(100.0)]
9;LLM-baseline;Response_To_Treatment;TSR;43.93;44.53;25.0;[np.float64(0.0), np.float64(100.0)]
10;LLM-baseline;Staging;TSR;45.38;48.42;0.0;[np.float64(0.0), np.float64(100.0)]
11;LLM-baseline;Therapy;TSR;33.86;42.57;0.0;[np.float64(0.0), np.float64(79.0)]
12;LLM-baseline;Tumor_Finding;TSR;77.32;35.13;100.0;[np.float64(63.75), np.float64(100.0)]
13;LLM-baseline;Tumor_Size;TSR;75.68;42.7;100.0;[np.float64(100.0), np.float64(100.0)]
14;RAG-LLM;Biomarker;TSR;20.73;25.13;20.0;[np.float64(0.0), np.float64(26.5)]
15;RAG-LLM;Biomarker_Result;TSR;73.19;43.91;100.0;[np.float64(5.0), np.float64(100.0)]
16;RAG-LLM;Cancer_Surgery;TSR;24.11;36.44;0.0;[np.float64(0.0), np.float64(43.0)]
17;RAG-LLM;Grade;TSR;86.36;34.32;100.0;[np.float64(100.0), np.float64(100.0)]
18;RAG-LLM;Histological_Type;TSR;90.0;30.0;100.0;[np.float64(100.0), np.float64(100.0)]
19;RAG-LLM;Imaging_Test;TSR;51.83;47.01;62.5;[np.float64(0.0), np.float64(100.0)]
20;RAG-LLM;Invasion;TSR;39.23;45.54;0.0;[np.float64(0.0), np.float64(100.0)]
21;RAG-LLM;Metastasis;TSR;54.42;39.37;57.0;[np.float64(0.0), np.float64(90.0)]
22;RAG-LLM;Oncogene;TSR;84.55;36.15;100.0;[np.float64(100.0), np.float64(100.0)]
23;RAG-LLM;Response_To_Treatment;TSR;42.26;43.67;25.0;[np.float64(0.0), np.float64(100.0)]
24;RAG-LLM;Staging;TSR;35.18;45.94;0.0;[np.float64(0.0), np.float64(100.0)]
25;RAG-LLM;Therapy;TSR;37.87;41.37;18.0;[np.float64(0.0), np.float64(75.75)]
26;RAG-LLM;Tumor_Finding;TSR;72.51;37.81;100.0;[np.float64(45.67), np.float64(100.0)]
27;RAG-LLM;Tumor_Size;TSR;73.64;44.06;100.0;[np.float64(0.0), np.float64(100.0)]
28;WF-LLM;Biomarker;TSR;30.24;37.3;20.0;[np.float64(0.0), np.float64(33.0)]
29;WF-LLM;Biomarker_Result;TSR;76.36;42.48;100.0;[np.float64(100.0), np.float64(100.0)]
30;WF-LLM;Cancer_Surgery;TSR;29.7;41.11;0.0;[np.float64(0.0), np.float64(61.62)]
31;WF-LLM;Grade;TSR;49.78;48.86;32.0;[np.float64(0.0), np.float64(100.0)]
32;WF-LLM;Histological_Type;TSR;85.68;34.78;100.0;[np.float64(100.0), np.float64(100.0)]
33;WF-LLM;Imaging_Test;TSR;41.02;41.5;30.5;[np.float64(0.0), np.float64(85.5)]
34;WF-LLM;Invasion;TSR;23.43;37.01;0.0;[np.float64(0.0), np.float64(52.25)]
35;WF-LLM;Metastasis;TSR;58.06;39.77;80.0;[np.float64(0.0), np.float64(90.0)]
