Approach,Judge,Iteration,Criterion,Normalized_Mean_Satisfied
Model_Alone,claude,0,Completeness,0.844
Model_Alone,claude,0,Step_concordance,0.244
Model_Alone,claude,0,Case_tailoring,0.244
Model_Alone,claude,0,Missing_data_concordance,0.0
Model_Studies,claude,0,Completeness,0.822
Model_Studies,claude,0,Step_concordance,0.4
Model_Studies,claude,0,Case_tailoring,0.489
Model_Studies,claude,0,Missing_data_concordance,0.067
Model_Workflow,claude,0,Completeness,1.0
Model_Workflow,claude,0,Step_concordance,0.378
Model_Workflow,claude,0,Case_tailoring,0.667
Model_Workflow,claude,0,Missing_data_concordance,0.133
Model_Workflow_Studies,claude,0,Completeness,0.867
Model_Workflow_Studies,claude,0,Step_concordance,0.4
Model_Workflow_Studies,claude,0,Case_tailoring,0.6
Model_Workflow_Studies,claude,0,Missing_data_concordance,0.267
Model_Alone,claude,1,Completeness,0.844
Model_Alone,claude,1,Step_concordance,0.244
Model_Alone,claude,1,Case_tailoring,0.178
Model_Alone,claude,1,Missing_data_concordance,0.022
Model_Studies,claude,1,Completeness,0.822
Model_Studies,claude,1,Step_concordance,0.422
Model_Studies,claude,1,Case_tailoring,0.511
Model_Studies,claude,1,Missing_data_concordance,0.089
Model_Workflow,claude,1,Completeness,0.978
Model_Workflow,claude,1,Step_concordance,0.378
Model_Workflow,claude,1,Case_tailoring,0.644
Model_Workflow,claude,1,Missing_data_concordance,0.133
Model_Workflow_Studies,claude,1,Completeness,0.889
Model_Workflow_Studies,claude,1,Step_concordance,0.356
Model_Workflow_Studies,claude,1,Case_tailoring,0.622
Model_Workflow_Studies,claude,1,Missing_data_concordance,0.267
Model_Alone,claude,2,Completeness,0.867
Model_Alone,claude,2,Step_concordance,0.289
Model_Alone,claude,2,Case_tailoring,0.222
Model_Alone,claude,2,Missing_data_concordance,0.022
Model_Studies,claude,2,Completeness,0.822
Model_Studies,claude,2,Step_concordance,0.422
Model_Studies,claude,2,Case_tailoring,0.489
Model_Studies,claude,2,Missing_data_concordance,0.022
Model_Workflow,claude,2,Completeness,0.978
Model_Workflow,claude,2,Step_concordance,0.378
Model_Workflow,claude,2,Case_tailoring,0.689
Model_Workflow,claude,2,Missing_data_concordance,0.156
Model_Workflow_Studies,claude,2,Completeness,0.867
Model_Workflow_Studies,claude,2,Step_concordance,0.356
Model_Workflow_Studies,claude,2,Case_tailoring,0.622
Model_Workflow_Studies,claude,2,Missing_data_concordance,0.244
Model_Alone,gpt,0,Completeness,0.902
Model_Alone,gpt,0,Step_concordance,0.765
Model_Alone,gpt,0,Case_tailoring,0.059
Model_Alone,gpt,0,Missing_data_concordance,0.255
Model_Studies,gpt,0,Completeness,0.784
Model_Studies,gpt,0,Step_concordance,0.667
Model_Studies,gpt,0,Case_tailoring,0.078
Model_Studies,gpt,0,Missing_data_concordance,0.039
Model_Workflow,gpt,0,Completeness,0.922
Model_Workflow,gpt,0,Step_concordance,0.863
Model_Workflow,gpt,0,Case_tailoring,0.176
Model_Workflow,gpt,0,Missing_data_concordance,0.176
Model_Workflow_Studies,gpt,0,Completeness,1.0
Model_Workflow_Studies,gpt,0,Step_concordance,0.765
Model_Workflow_Studies,gpt,0,Case_tailoring,0.078
Model_Workflow_Studies,gpt,0,Missing_data_concordance,0.157
Model_Alone,gpt,1,Completeness,0.765
Model_Alone,gpt,1,Step_concordance,0.608
Model_Alone,gpt,1,Case_tailoring,0.059
Model_Alone,gpt,1,Missing_data_concordance,0.118
Model_Studies,gpt,1,Completeness,0.863
Model_Studies,gpt,1,Step_concordance,0.765
Model_Studies,gpt,1,Case_tailoring,0.157
Model_Studies,gpt,1,Missing_data_concordance,0.137
Model_Workflow,gpt,1,Completeness,0.784
Model_Workflow,gpt,1,Step_concordance,0.784
Model_Workflow,gpt,1,Case_tailoring,0.078
Model_Workflow,gpt,1,Missing_data_concordance,0.216
Model_Workflow_Studies,gpt,1,Completeness,0.824
Model_Workflow_Studies,gpt,1,Step_concordance,0.824
Model_Workflow_Studies,gpt,1,Case_tailoring,0.196
Model_Workflow_Studies,gpt,1,Missing_data_concordance,0.216
Model_Alone,gpt,2,Completeness,0.745
Model_Alone,gpt,2,Step_concordance,0.706
Model_Alone,gpt,2,Case_tailoring,0.0
Model_Alone,gpt,2,Missing_data_concordance,0.137
Model_Studies,gpt,2,Completeness,0.804
Model_Studies,gpt,2,Step_concordance,0.765
Model_Studies,gpt,2,Case_tailoring,0.098
Model_Studies,gpt,2,Missing_data_concordance,0.059
Model_Workflow,gpt,2,Completeness,0.863
Model_Workflow,gpt,2,Step_concordance,0.765
Model_Workflow,gpt,2,Case_tailoring,0.196
Model_Workflow,gpt,2,Missing_data_concordance,0.118
Model_Workflow_Studies,gpt,2,Completeness,0.843
Model_Workflow_Studies,gpt,2,Step_concordance,0.824
Model_Workflow_Studies,gpt,2,Case_tailoring,0.02
Model_Workflow_Studies,gpt,2,Missing_data_concordance,0.078
Model_Alone,llama,0,Completeness,0.852
Model_Alone,llama,0,Step_concordance,0.59
Model_Alone,llama,0,Case_tailoring,0.656
Model_Alone,llama,0,Missing_data_concordance,0.033
Model_Studies,llama,0,Completeness,0.918
Model_Studies,llama,0,Step_concordance,0.459
Model_Studies,llama,0,Case_tailoring,0.607
Model_Studies,llama,0,Missing_data_concordance,0.016
Model_Workflow,llama,0,Completeness,0.951
Model_Workflow,llama,0,Step_concordance,0.656
Model_Workflow,llama,0,Case_tailoring,0.754
Model_Workflow,llama,0,Missing_data_concordance,0.033
Model_Workflow_Studies,llama,0,Completeness,0.984
Model_Workflow_Studies,llama,0,Step_concordance,0.574
Model_Workflow_Studies,llama,0,Case_tailoring,0.721
Model_Workflow_Studies,llama,0,Missing_data_concordance,0.082
Model_Alone,llama,1,Completeness,0.852
Model_Alone,llama,1,Step_concordance,0.59
Model_Alone,llama,1,Case_tailoring,0.639
Model_Alone,llama,1,Missing_data_concordance,0.016
Model_Studies,llama,1,Completeness,0.902
Model_Studies,llama,1,Step_concordance,0.475
Model_Studies,llama,1,Case_tailoring,0.607
Model_Studies,llama,1,Missing_data_concordance,0.0
Model_Workflow,llama,1,Completeness,0.951
Model_Workflow,llama,1,Step_concordance,0.656
Model_Workflow,llama,1,Case_tailoring,0.77
Model_Workflow,llama,1,Missing_data_concordance,0.016
Model_Workflow_Studies,llama,1,Completeness,1.0
Model_Workflow_Studies,llama,1,Step_concordance,0.59
Model_Workflow_Studies,llama,1,Case_tailoring,0.77
Model_Workflow_Studies,llama,1,Missing_data_concordance,0.082
Model_Alone,llama,2,Completeness,0.852
Model_Alone,llama,2,Step_concordance,0.607
Model_Alone,llama,2,Case_tailoring,0.672
Model_Alone,llama,2,Missing_data_concordance,0.016
Model_Studies,llama,2,Completeness,0.885
Model_Studies,llama,2,Step_concordance,0.475
Model_Studies,llama,2,Case_tailoring,0.59
Model_Studies,llama,2,Missing_data_concordance,0.016
Model_Workflow,llama,2,Completeness,0.984
Model_Workflow,llama,2,Step_concordance,0.672
Model_Workflow,llama,2,Case_tailoring,0.803
Model_Workflow,llama,2,Missing_data_concordance,0.049
Model_Workflow_Studies,llama,2,Completeness,0.984
Model_Workflow_Studies,llama,2,Step_concordance,0.557
Model_Workflow_Studies,llama,2,Case_tailoring,0.754
Model_Workflow_Studies,llama,2,Missing_data_concordance,0.016
