Judge,Criterion,Approach,Mean_Satisfied_Across_Iteration
Claude Sonnet 4.6,Completeness,LLM-baseline,0.852 (0.011)
Claude Sonnet 4.6,Completeness,RAG-LLM,0.822 (0.0)
Claude Sonnet 4.6,Completeness,WF-LLM,0.985 (0.01)
Claude Sonnet 4.6,Completeness,WF-RAG-LLM,0.874 (0.01)
Claude Sonnet 4.6,Step_concordance,LLM-baseline,0.259 (0.021)
Claude Sonnet 4.6,Step_concordance,RAG-LLM,0.415 (0.01)
Claude Sonnet 4.6,Step_concordance,WF-LLM,0.378 (0.0)
Claude Sonnet 4.6,Step_concordance,WF-RAG-LLM,0.371 (0.021)
Claude Sonnet 4.6,Case_tailoring,LLM-baseline,0.215 (0.027)
Claude Sonnet 4.6,Case_tailoring,RAG-LLM,0.496 (0.01)
Claude Sonnet 4.6,Case_tailoring,WF-LLM,0.667 (0.018)
Claude Sonnet 4.6,Case_tailoring,WF-RAG-LLM,0.615 (0.01)
Claude Sonnet 4.6,Missing_data_concordance,LLM-baseline,0.015 (0.01)
Claude Sonnet 4.6,Missing_data_concordance,RAG-LLM,0.059 (0.028)
Claude Sonnet 4.6,Missing_data_concordance,WF-LLM,0.141 (0.011)
Claude Sonnet 4.6,Missing_data_concordance,WF-RAG-LLM,0.259 (0.011)
GPT-4o,Completeness,LLM-baseline,0.804 (0.07)
GPT-4o,Completeness,RAG-LLM,0.817 (0.034)
GPT-4o,Completeness,WF-LLM,0.856 (0.057)
GPT-4o,Completeness,WF-RAG-LLM,0.889 (0.079)
GPT-4o,Step_concordance,LLM-baseline,0.693 (0.065)
GPT-4o,Step_concordance,RAG-LLM,0.732 (0.046)
GPT-4o,Step_concordance,WF-LLM,0.804 (0.042)
GPT-4o,Step_concordance,WF-RAG-LLM,0.804 (0.028)
GPT-4o,Case_tailoring,LLM-baseline,0.039 (0.028)
GPT-4o,Case_tailoring,RAG-LLM,0.111 (0.034)
GPT-4o,Case_tailoring,WF-LLM,0.15 (0.052)
GPT-4o,Case_tailoring,WF-RAG-LLM,0.098 (0.073)
GPT-4o,Missing_data_concordance,LLM-baseline,0.17 (0.061)
GPT-4o,Missing_data_concordance,RAG-LLM,0.078 (0.042)
GPT-4o,Missing_data_concordance,WF-LLM,0.17 (0.04)
GPT-4o,Missing_data_concordance,WF-RAG-LLM,0.15 (0.057)
Llama 3.3 70B,Completeness,LLM-baseline,0.852 (0.0)
Llama 3.3 70B,Completeness,RAG-LLM,0.902 (0.013)
Llama 3.3 70B,Completeness,WF-LLM,0.962 (0.016)
Llama 3.3 70B,Completeness,WF-RAG-LLM,0.989 (0.008)
Llama 3.3 70B,Step_concordance,LLM-baseline,0.596 (0.008)
Llama 3.3 70B,Step_concordance,RAG-LLM,0.47 (0.008)
Llama 3.3 70B,Step_concordance,WF-LLM,0.661 (0.008)
Llama 3.3 70B,Step_concordance,WF-RAG-LLM,0.574 (0.013)
Llama 3.3 70B,Case_tailoring,LLM-baseline,0.656 (0.013)
Llama 3.3 70B,Case_tailoring,RAG-LLM,0.601 (0.008)
Llama 3.3 70B,Case_tailoring,WF-LLM,0.776 (0.02)
Llama 3.3 70B,Case_tailoring,WF-RAG-LLM,0.748 (0.02)
Llama 3.3 70B,Missing_data_concordance,LLM-baseline,0.022 (0.008)
Llama 3.3 70B,Missing_data_concordance,RAG-LLM,0.011 (0.008)
Llama 3.3 70B,Missing_data_concordance,WF-LLM,0.033 (0.013)
Llama 3.3 70B,Missing_data_concordance,WF-RAG-LLM,0.06 (0.031)
