Judge,Criterion,Approach,Mean_Satisfied_Across_Iteration
Claude Sonnet 4.6,Completeness,LLM-baseline,0.975 (0.02)
Claude Sonnet 4.6,Completeness,RAG-LLM,0.908 (0.012)
Claude Sonnet 4.6,Completeness,WF-LLM,0.975 (0.0)
Claude Sonnet 4.6,Completeness,WF-RAG-LLM,0.942 (0.012)
Claude Sonnet 4.6,Step_concordance,LLM-baseline,0.192 (0.024)
Claude Sonnet 4.6,Step_concordance,RAG-LLM,0.267 (0.012)
Claude Sonnet 4.6,Step_concordance,WF-LLM,0.5 (0.0)
Claude Sonnet 4.6,Step_concordance,WF-RAG-LLM,0.392 (0.024)
Claude Sonnet 4.6,Case_tailoring,LLM-baseline,0.408 (0.031)
Claude Sonnet 4.6,Case_tailoring,RAG-LLM,0.458 (0.024)
Claude Sonnet 4.6,Case_tailoring,WF-LLM,0.642 (0.031)
Claude Sonnet 4.6,Case_tailoring,WF-RAG-LLM,0.683 (0.024)
Claude Sonnet 4.6,Missing_data_concordance,LLM-baseline,0.008 (0.012)
Claude Sonnet 4.6,Missing_data_concordance,RAG-LLM,0.1 (0.02)
Claude Sonnet 4.6,Missing_data_concordance,WF-LLM,0.125 (0.02)
Claude Sonnet 4.6,Missing_data_concordance,WF-RAG-LLM,0.258 (0.031)
GPT-4o,Completeness,LLM-baseline,0.713 (0.047)
GPT-4o,Completeness,RAG-LLM,0.84 (0.085)
GPT-4o,Completeness,WF-LLM,0.86 (0.102)
GPT-4o,Completeness,WF-RAG-LLM,0.947 (0.019)
GPT-4o,Step_concordance,LLM-baseline,0.62 (0.057)
GPT-4o,Step_concordance,RAG-LLM,0.693 (0.009)
GPT-4o,Step_concordance,WF-LLM,0.82 (0.057)
GPT-4o,Step_concordance,WF-RAG-LLM,0.847 (0.066)
GPT-4o,Case_tailoring,LLM-baseline,0.053 (0.05)
GPT-4o,Case_tailoring,RAG-LLM,0.113 (0.068)
GPT-4o,Case_tailoring,WF-LLM,0.107 (0.038)
GPT-4o,Case_tailoring,WF-RAG-LLM,0.14 (0.043)
GPT-4o,Missing_data_concordance,LLM-baseline,0.133 (0.009)
GPT-4o,Missing_data_concordance,RAG-LLM,0.127 (0.038)
GPT-4o,Missing_data_concordance,WF-LLM,0.04 (0.016)
GPT-4o,Missing_data_concordance,WF-RAG-LLM,0.24 (0.043)
Llama 3.3 70B,Completeness,LLM-baseline,0.847 (0.017)
Llama 3.3 70B,Completeness,RAG-LLM,0.82 (0.006)
Llama 3.3 70B,Completeness,WF-LLM,0.965 (0.025)
Llama 3.3 70B,Completeness,WF-RAG-LLM,0.886 (0.016)
Llama 3.3 70B,Step_concordance,LLM-baseline,0.602 (0.006)
Llama 3.3 70B,Step_concordance,RAG-LLM,0.458 (0.016)
Llama 3.3 70B,Step_concordance,WF-LLM,0.55 (0.08)
Llama 3.3 70B,Step_concordance,WF-RAG-LLM,0.523 (0.007)
Llama 3.3 70B,Case_tailoring,LLM-baseline,0.65 (0.012)
Llama 3.3 70B,Case_tailoring,RAG-LLM,0.589 (0.016)
Llama 3.3 70B,Case_tailoring,WF-LLM,0.619 (0.084)
Llama 3.3 70B,Case_tailoring,WF-RAG-LLM,0.698 (0.011)
Llama 3.3 70B,Missing_data_concordance,LLM-baseline,0.13 (0.016)
Llama 3.3 70B,Missing_data_concordance,RAG-LLM,0.068 (0.029)
Llama 3.3 70B,Missing_data_concordance,WF-LLM,0.102 (0.073)
Llama 3.3 70B,Missing_data_concordance,WF-RAG-LLM,0.138 (0.012)
