Approach,Judge,Iteration,Criterion,Sum_Satisfied,Mean_Satisfied,STD_Satisfied
Model_Alone,claude,0,Completeness,93,0.93,0.255
Model_Alone,claude,0,Step_concordance,62,0.62,0.485
Model_Alone,claude,0,Case_tailoring,70,0.7,0.458
Model_Alone,claude,0,Missing_data_concordance,55,0.55,0.497
Model_Studies,claude,0,Completeness,91,0.91,0.286
Model_Studies,claude,0,Step_concordance,65,0.65,0.477
Model_Studies,claude,0,Case_tailoring,74,0.74,0.439
Model_Studies,claude,0,Missing_data_concordance,58,0.58,0.494
Model_Workflow,claude,0,Completeness,94,0.94,0.237
Model_Workflow,claude,0,Step_concordance,75,0.75,0.433
Model_Workflow,claude,0,Case_tailoring,79,0.79,0.407
Model_Workflow,claude,0,Missing_data_concordance,60,0.6,0.49
Model_Workflow_Studies,claude,0,Completeness,92,0.92,0.271
Model_Workflow_Studies,claude,0,Step_concordance,70,0.7,0.458
Model_Workflow_Studies,claude,0,Case_tailoring,81,0.81,0.392
Model_Workflow_Studies,claude,0,Missing_data_concordance,64,0.64,0.48
Model_Alone,claude,1,Completeness,94,0.94,0.237
Model_Alone,claude,1,Step_concordance,62,0.62,0.485
Model_Alone,claude,1,Case_tailoring,73,0.73,0.444
Model_Alone,claude,1,Missing_data_concordance,55,0.55,0.497
Model_Studies,claude,1,Completeness,91,0.91,0.286
Model_Studies,claude,1,Step_concordance,66,0.66,0.474
Model_Studies,claude,1,Case_tailoring,72,0.72,0.449
Model_Studies,claude,1,Missing_data_concordance,60,0.6,0.49
Model_Workflow,claude,1,Completeness,94,0.94,0.237
Model_Workflow,claude,1,Step_concordance,75,0.75,0.433
Model_Workflow,claude,1,Case_tailoring,81,0.81,0.392
Model_Workflow,claude,1,Missing_data_concordance,59,0.59,0.492
Model_Workflow_Studies,claude,1,Completeness,93,0.93,0.255
Model_Workflow_Studies,claude,1,Step_concordance,72,0.72,0.449
Model_Workflow_Studies,claude,1,Case_tailoring,83,0.83,0.376
Model_Workflow_Studies,claude,1,Missing_data_concordance,65,0.65,0.477
Model_Alone,claude,2,Completeness,95,0.95,0.218
Model_Alone,claude,2,Step_concordance,64,0.64,0.48
Model_Alone,claude,2,Case_tailoring,71,0.71,0.454
Model_Alone,claude,2,Missing_data_concordance,56,0.56,0.496
Model_Studies,claude,2,Completeness,92,0.92,0.271
Model_Studies,claude,2,Step_concordance,66,0.66,0.474
Model_Studies,claude,2,Case_tailoring,74,0.74,0.439
Model_Studies,claude,2,Missing_data_concordance,59,0.59,0.492
Model_Workflow,claude,2,Completeness,94,0.94,0.237
Model_Workflow,claude,2,Step_concordance,75,0.75,0.433
Model_Workflow,claude,2,Case_tailoring,82,0.82,0.384
Model_Workflow,claude,2,Missing_data_concordance,61,0.61,0.488
Model_Workflow_Studies,claude,2,Completeness,93,0.93,0.255
Model_Workflow_Studies,claude,2,Step_concordance,70,0.7,0.458
Model_Workflow_Studies,claude,2,Case_tailoring,83,0.83,0.376
Model_Workflow_Studies,claude,2,Missing_data_concordance,67,0.67,0.47
Model_Alone,gpt,0,Completeness,47,0.47,0.499
Model_Alone,gpt,0,Step_concordance,41,0.41,0.492
Model_Alone,gpt,0,Case_tailoring,10,0.1,0.3
Model_Alone,gpt,0,Missing_data_concordance,14,0.14,0.347
Model_Studies,gpt,0,Completeness,56,0.56,0.496
Model_Studies,gpt,0,Step_concordance,42,0.42,0.494
Model_Studies,gpt,0,Case_tailoring,17,0.17,0.376
Model_Studies,gpt,0,Missing_data_concordance,13,0.13,0.336
Model_Workflow,gpt,0,Completeness,49,0.49,0.5
Model_Workflow,gpt,0,Step_concordance,47,0.47,0.499
Model_Workflow,gpt,0,Case_tailoring,12,0.12,0.325
Model_Workflow,gpt,0,Missing_data_concordance,11,0.11,0.313
Model_Workflow_Studies,gpt,0,Completeness,56,0.56,0.496
Model_Workflow_Studies,gpt,0,Step_concordance,48,0.48,0.5
Model_Workflow_Studies,gpt,0,Case_tailoring,17,0.17,0.376
Model_Workflow_Studies,gpt,0,Missing_data_concordance,18,0.18,0.384
Model_Alone,gpt,1,Completeness,42,0.42,0.494
Model_Alone,gpt,1,Step_concordance,41,0.41,0.492
Model_Alone,gpt,1,Case_tailoring,8,0.08,0.271
Model_Alone,gpt,1,Missing_data_concordance,15,0.15,0.357
Model_Studies,gpt,1,Completeness,47,0.47,0.499
Model_Studies,gpt,1,Step_concordance,43,0.43,0.495
Model_Studies,gpt,1,Case_tailoring,15,0.15,0.357
Model_Studies,gpt,1,Missing_data_concordance,17,0.17,0.376
Model_Workflow,gpt,1,Completeness,58,0.58,0.494
Model_Workflow,gpt,1,Step_concordance,53,0.53,0.499
Model_Workflow,gpt,1,Case_tailoring,12,0.12,0.325
Model_Workflow,gpt,1,Missing_data_concordance,10,0.1,0.3
Model_Workflow_Studies,gpt,1,Completeness,54,0.54,0.498
Model_Workflow_Studies,gpt,1,Step_concordance,48,0.48,0.5
Model_Workflow_Studies,gpt,1,Case_tailoring,12,0.12,0.325
Model_Workflow_Studies,gpt,1,Missing_data_concordance,19,0.19,0.392
Model_Alone,gpt,2,Completeness,42,0.42,0.494
Model_Alone,gpt,2,Step_concordance,35,0.35,0.477
Model_Alone,gpt,2,Case_tailoring,14,0.14,0.347
Model_Alone,gpt,2,Missing_data_concordance,15,0.15,0.357
Model_Studies,gpt,2,Completeness,47,0.47,0.499
Model_Studies,gpt,2,Step_concordance,43,0.43,0.495
Model_Studies,gpt,2,Case_tailoring,9,0.09,0.286
Model_Studies,gpt,2,Missing_data_concordance,13,0.13,0.336
Model_Workflow,gpt,2,Completeness,46,0.46,0.498
Model_Workflow,gpt,2,Step_concordance,47,0.47,0.499
Model_Workflow,gpt,2,Case_tailoring,16,0.16,0.367
Model_Workflow,gpt,2,Missing_data_concordance,9,0.09,0.286
Model_Workflow_Studies,gpt,2,Completeness,56,0.56,0.496
Model_Workflow_Studies,gpt,2,Step_concordance,55,0.55,0.497
Model_Workflow_Studies,gpt,2,Case_tailoring,16,0.16,0.367
Model_Workflow_Studies,gpt,2,Missing_data_concordance,23,0.23,0.421
Model_Alone,llama,0,Completeness,71,0.71,0.454
Model_Alone,llama,0,Step_concordance,51,0.51,0.5
Model_Alone,llama,0,Case_tailoring,55,0.55,0.497
Model_Alone,llama,0,Missing_data_concordance,16,0.16,0.367
Model_Studies,llama,0,Completeness,67,0.67,0.47
Model_Studies,llama,0,Step_concordance,41,0.41,0.492
Model_Studies,llama,0,Case_tailoring,51,0.51,0.5
Model_Studies,llama,0,Missing_data_concordance,13,0.13,0.336
Model_Workflow,llama,0,Completeness,77,0.77,0.421
Model_Workflow,llama,0,Step_concordance,51,0.51,0.5
Model_Workflow,llama,0,Case_tailoring,57,0.57,0.495
Model_Workflow,llama,0,Missing_data_concordance,17,0.17,0.376
Model_Workflow_Studies,llama,0,Completeness,71,0.71,0.454
Model_Workflow_Studies,llama,0,Step_concordance,45,0.45,0.497
Model_Workflow_Studies,llama,0,Case_tailoring,58,0.58,0.494
Model_Workflow_Studies,llama,0,Missing_data_concordance,16,0.16,0.367
Model_Alone,llama,1,Completeness,68,0.68,0.466
Model_Alone,llama,1,Step_concordance,51,0.51,0.5
Model_Alone,llama,1,Case_tailoring,55,0.55,0.497
Model_Alone,llama,1,Missing_data_concordance,15,0.15,0.357
Model_Studies,llama,1,Completeness,68,0.68,0.466
Model_Studies,llama,1,Step_concordance,40,0.4,0.49
Model_Studies,llama,1,Case_tailoring,50,0.5,0.5
Model_Studies,llama,1,Missing_data_concordance,8,0.08,0.271
Model_Workflow,llama,1,Completeness,77,0.77,0.421
Model_Workflow,llama,1,Step_concordance,51,0.51,0.5
Model_Workflow,llama,1,Case_tailoring,56,0.56,0.496
Model_Workflow,llama,1,Missing_data_concordance,16,0.16,0.367
Model_Workflow_Studies,llama,1,Completeness,74,0.74,0.439
Model_Workflow_Studies,llama,1,Step_concordance,45,0.45,0.497
Model_Workflow_Studies,llama,1,Case_tailoring,59,0.59,0.492
Model_Workflow_Studies,llama,1,Missing_data_concordance,14,0.14,0.347
Model_Alone,llama,2,Completeness,69,0.69,0.462
Model_Alone,llama,2,Step_concordance,50,0.5,0.5
Model_Alone,llama,2,Case_tailoring,53,0.53,0.499
Model_Alone,llama,2,Missing_data_concordance,13,0.13,0.336
Model_Studies,llama,2,Completeness,67,0.67,0.47
Model_Studies,llama,2,Step_concordance,38,0.38,0.485
Model_Studies,llama,2,Case_tailoring,48,0.48,0.5
Model_Studies,llama,2,Missing_data_concordance,9,0.09,0.286
Model_Workflow,llama,2,Completeness,17,0.81,0.393
Model_Workflow,llama,2,Step_concordance,8,0.381,0.486
Model_Workflow,llama,2,Case_tailoring,9,0.429,0.495
Model_Workflow,llama,2,Missing_data_concordance,1,0.048,0.213
Model_Workflow_Studies,llama,2,Completeness,72,0.72,0.449
Model_Workflow_Studies,llama,2,Step_concordance,44,0.44,0.496
Model_Workflow_Studies,llama,2,Case_tailoring,57,0.57,0.495
Model_Workflow_Studies,llama,2,Missing_data_concordance,16,0.16,0.367
